file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2
b01, 63, 62, 37, 56, 50, 50, 25, 50, 0, 8.750e-04, 2.094e-04, 2.507e-03, 0.4015, 0.2769, 0.1391, 0.2344, 82, 82, 82, 82
b02, 63, 63, 41, 60, 50, 50, 28, 50, 0, 9.457e-04, 3.380e-04, 4.847e-03, 0.4654, 0.3054, 0.2230, 0.3873, 83, 83, 83, 83
b03, 63, 62, 46, 54, 50, 50, 34, 50, 0, 6.756e-04, 7.750e-05, 4.740e-03, 0.4406, 0.4206, 0.2779, 0.4290, 138, 138, 138, 138
b04, 100, 98, 90, 72, 50, 50, 40, 50, 0, 1.085e-03, 1.640e-04, 3.359e-03, 0.5112, 0.4741, 0.4116, 0.3430, 59, 59, 59, 59
b05, 100, 96, 94, 68, 50, 50, 44, 50, 0, 1.216e-03, 1.906e-04, 3.284e-03, 0.4969, 0.4564, 0.3646, 0.2814, 61, 61, 61, 61
b06, 100, 97, 96, 73, 50, 50, 47, 50, 0, 9.248e-04, 9.980e-05, 4.454e-03, 0.9008, 0.7986, 0.6695, 0.6037, 122, 122, 122, 122
b07, 94, 94, 58, 88, 75, 75, 40, 75, 0, 2.143e-03, 1.573e-04, 2.717e-03, 0.5285, 0.5338, 0.1903, 0.4846, 111, 111, 111, 111
b08, 94, 93, 54, 83, 75, 75, 37, 75, 0, 1.601e-03, 9.770e-05, 3.269e-03, 1.085, 0.5838, 0.3049, 0.5968, 104, 104, 104, 104
b09, 94, 92, 69, 82, 75, 75, 50, 75, 0, 1.851e-03, 8.930e-05, 7.808e-03, 1.214, 1.125, 0.7969, 1.164, 220, 220, 220, 220
b10, 150, 148, 136, 128, 75, 75, 61, 75, 0, 2.252e-03, 1.019e-04, 4.028e-03, 1.084, 1.062, 0.7147, 0.7442, 86, 86, 86, 86
b11, 150, 148, 139, 114, 75, 75, 65, 75, 0, 2.270e-03, 9.390e-05, 4.032e-03, 0.8439, 0.8744, 0.6963, 0.5928, 88, 88, 88, 90
b12, 150, 146, 141, 93, 75, 75, 68, 75, 0, 2.273e-03, 8.600e-05, 6.830e-03, 1.618, 1.647, 1.508, 1.471, 174, 174, 174, 174
b13, 125, 124, 76, 121, 100, 100, 52, 100, 0, 3.742e-03, 1.832e-04, 5.669e-03, 1.435, 1.390, 0.5163, 1.379, 165, 165, 165, 165
b14, 125, 125, 85, 120, 100, 100, 60, 100, 0, 3.513e-03, 1.096e-04, 6.569e-03, 1.661, 1.660, 0.8767, 1.751, 235, 235, 235, 237
b15, 125, 125, 93, 117, 100, 100, 68, 100, 0, 4.004e-03, 1.187e-04, 0.01373, 2.830, 2.840, 1.912, 2.665, 318, 318, 318, 318
b16, 200, 195, 182, 174, 100, 100, 82, 100, 0, 5.097e-03, 1.242e-04, 6.806e-03, 2.047, 1.863, 1.645, 1.608, 127, 127, 127, 127
b17, 200, 190, 182, 147, 100, 100, 82, 100, 0, 5.213e-03, 1.526e-04, 7.312e-03, 2.194, 2.074, 1.652, 1.834, 131, 131, 131, 131
b18, 200, 195, 188, 124, 100, 100, 88, 100, 0, 4.850e-03, 2.030e-04, 0.01155, 3.518, 3.624, 3.087, 3.253, 218, 218, 218, 218
